25.9	24937	16867	15390	12817	12604	19851	21899	24470	25497	27290
26	24923	16856	15364	12817	12609	19859	21904	24541	25547	26869
26.1	24941	16884	15357	12821	12607	19950	21857	24534	25558	27363
26.2	24906	16869	15346	12810	12613	20034	21848	24557	25599	27602
26.3	24917	16860	15347	12801	12618	20523	21958	24599	25706	27982
26.4	24900	16855	15332	12818	12615	20597	22025	24573	25723	28026
26.5	24936	16850	15349	12808	12611	20989	22070	24608	25796	27419
26.6	24891	16859	15339	12795	12625	21025	22117	24620	25782	27152
26.7	24920	16859	15333	12801	12622	21200	22154	24678	25869	27973
26.8	24910	16868	15336	12797	12616	21593	22199	24681	25942	27885
26.9	24918	16859	15388	12808	12612	21710	22190	24669	26018	27932
27	24921	16872	15337	12809	12618	21729	22179	24614	25979	27889
27.1	24957	16846	15378	12813	12599	21790	22165	24574	25991	27907
27.2	24916	16844	15418	12790	12586	22038	22257	24705	26112	28064
27.3	24931	16838	15435	12817	12591	22154	22318	24772	26230	28212
27.4	24912	16840	15387	12815	12622	22388	22409	24850	26371	28332
27.5	24912	16830	15433	12813	12623	22324	22396	24828	26424	28398
27.6	24906	16862	15420	12811	12613	22391	22439	24839	26539	28530
27.7	24934	16850	15373	12812	12617	22457	22470	24923	26584	28640
27.8	24928	16837	15338	12824	12638	22602	22647	25130	26803	28776
27.9	24927	16838	15371	12836	12635	22741	22670	25196	26957	28914
28	24932	16837	15368	12820	12633	22752	22687	25147	26997	28879
28.1	24939	16846	15429	12822	12640	22666	22624	25096	26954	28834
28.2	24976	16827	15428	12828	12707	22765	22730	25180	27035	28936
28.3	24905	16846	15431	12826	12685	22822	22673	25148	27041	28894
28.4	24960	16826	15396	12832	12705	22984	22896	25389	27234	29099
28.5	24946	16840	15399	12826	12709	22940	22841	25355	27321	29143
28.6	24952	16816	15344	12821	12712	23021	22847	25367	27346	29168
28.7	24952	16824	15353	12848	12833	23197	22980	25638	27556	29366
28.8	24959	16848	15357	12832	12909	23330	23132	25788	27757	29608
28.9	24903	16851	15391	12850	12878	23284	23142	25804	27845	29645
29	24944	16854	15344	12825	12923	23303	23190	25809	27871	29638
29.1	24968	16826	15361	12844	12953	23342	23202	25821	27898	29685
29.2	24937	16849	15387	12839	13034	23422	23296	25918	28005	29787
29.3	24939	16841	15412	12839	13124	23527	23322	25985	28108	29844
29.4	24960	16847	15398	12819	13280	23491	23362	26043	28166	29902
29.5	24933	16852	15413	12843	13477	23576	23435	26158	28290	30034
29.6	24943	16860	15431	12830	13807	23765	23500	26312	28444	30189
29.7	24928	16847	15423	12835	13902	23832	23457	26310	28484	30178
29.8	24936	16841	15392	12831	13972	23874	23479	26312	28466	30131
29.9	24934	16849	15393	12834	14000	23838	23490	26223	28456	30057
30	24937	16841	15430	12853	14315	23927	23546	26310	28554	30153
